repo,check_id,severity,file,start_line,message
posx-mokobara-admin,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,WARNING,src/routes/products/product-detail/components/product-general-section/product-general-section.tsx,52,Detection of dangerouslySetInnerHTML from non-constant definition. This can inadvertently expose users to cross-site scripting (XSS) attacks if this comes from user-provided input. If you have to use 
posx-ugaoo-store,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,WARNING,src/components/primitives/accordion.tsx,50,Detection of dangerouslySetInnerHTML from non-constant definition. This can inadvertently expose users to cross-site scripting (XSS) attacks if this comes from user-provided input. If you have to use 
