repo,file,total_ccn,max_ccn,function_count,total_nloc,n_revs,hotspot_score
posx-comet-store,src/components/app/order/steps/payment-details/gift-card-form/index.tsx,80,11,35,241,10,800
posx-comet-store,src/components/app/home/campaign-coupon/index.tsx,50,10,21,249,16,800
posx-eume-admin,src/routes/store-details/store-details-create/components/payment-create-form/payment-create-form.tsx,49,13,14,216,16,784
posx-mokobara-store,src/components/app/home/custom-discount/discount-approval-modal.tsx,112,15,31,348,7,784
posx-eume-store,src/libs/store-coupon-eligibility.ts,78,23,20,219,10,780
posx-mokobara-admin,src/hooks/api/reports.tsx,95,15,42,421,8,760
posx-frido-store,src/components/app/order/order-summary.tsx,54,52,3,129,14,756
posx-mokobara-backend,src/workflows/employee/steps/create-employee-step.ts,42,32,5,136,18,756
posx-mokobara-store,src/pages/inventory/inbound.tsx,84,24,19,242,9,756
posx-mokobara-store,src/components/app/order/steps/payment-details/split-payment.tsx,34,18,6,85,22,748
posx-frido-store,src/components/app/product/online-cart-card.tsx,39,29,10,164,19,741
posx-mokobara-backend,src/modules/storepro/service.ts,37,11,6,145,20,740
posx-mokobara-admin,src/routes/store-details/store-details-create/constants.ts,32,10,7,77,23,736
posx-mokobara-store,tests/e2e/onlineflow/onlineflow.spec.js,105,20,57,404,7,735
posx-eume-backend,src/subscribers/gift-card-issue-on-order-confirm.ts,73,33,10,447,10,730
posx-comet-store,src/pages/return-and-exchange/index.tsx,27,22,5,175,27,729
posx-comet-store,src/components/filters.tsx,52,12,26,293,14,728
posx-mokobara-backend,src/modules/offer-engine/helpers/eligibility.ts,56,12,28,130,13,728
posx-frido-mobility-backend,src/modules/unicommerce/service.ts,145,16,30,829,5,725
posx-mokobara-backend,src/api/admin/tracked-coupons/route.ts,45,23,5,202,16,720
posx-frido-store,src/pages/online-orders/details/confirm-order.tsx,59,28,15,236,12,708
posx-frido-store,src/libs/configs/protected-routes.ts,44,1,44,47,16,704
posx-mokobara-store,src/store/middlewares/inventory.middleware.ts,32,11,12,242,22,704
posx-mokobara-store,src/components/app/product/product-card.tsx,37,24,5,90,19,703
posx-comet-store,src/components/app/customer/customer-login/index.tsx,39,5,18,308,18,702
posx-mokobara-backend,src/workflows/cart/steps/remove-item-from-shopify-cart-step.ts,28,14,8,115,25,700
posx-mokobara-store,tests/e2e/mixflow/mixflow.spec.js,139,21,69,543,5,695
posx-ugaoo-admin,src/hooks/api/employee.tsx,63,13,17,164,11,693
posx-ugaoo-store,src/pages/orders/details/order-details.tsx,63,34,12,290,11,693
posx-demo-store,src/pages/products/details.tsx,344,92,99,1222,2,688
posx-comet-store,src/pages/orders/details/customer-details.tsx,38,15,12,158,18,684
posx-mokobara-store,tests/e2e/helpers.js,85,9,37,220,8,680
posx-eume-store,src/components/app/product/online-retail-coupon/index.tsx,52,11,20,251,13,676
posx-comet-admin,src/routes/campaign-coupons/coupon-edit/components/edit-coupon-form.tsx,45,15,11,199,15,675
posx-frido-store,src/pages/online-orders/details/payment-details.tsx,45,9,16,215,15,675
posx-frido-store,src/store/middlewares/online-cart.middleware.ts,75,5,49,421,9,675
posx-comet-backend,src/api/adsr/order-payment/route.ts,56,22,16,253,12,672
posx-frido-store,src/pages/orders/details/payment-details.tsx,42,10,15,204,16,672
posx-mokobara-store,src/pages/customer/orders/details.tsx,48,35,11,214,14,672
posx-comet-store,src/components/primitives/badge.tsx,35,11,5,191,19,665
posx-comet-store,src/store/apis/gift-card.request.ts,95,27,7,243,7,665
posx-eume-store,src/libs/order.ts,39,31,2,91,17,663
posx-eume-store,src/components/app/product/online-coupon-product/index.tsx,66,7,22,236,10,660
posx-mokobara-store,src/components/app/inventory/internal-stock-transfer/scan-modal.tsx,110,19,45,423,6,660
posx-frido-mobility-backend,src/modules/pdf-client/service.ts,94,22,26,769,7,658
posx-mokobara-admin,src/routes/inventory/stock-adjustment/stock-adjustment.tsx,94,14,42,220,7,658
posx-mokobara-store,src/components/app/cash-drawer/open-drawer-dialog.tsx,47,15,14,159,14,658
posx-mokobara-store,src/components/app/order/steps/payment-details/index.tsx,31,5,14,156,21,651
posx-frido-store,src/store/reducers/cart.reducer.ts,65,6,37,232,10,650
posx-mokobara-admin,src/routes/gift-vouchers/components/voucher-detail-drawer.tsx,59,17,13,204,11,649
posx-mokobara-backend,src/api/admin/order-detail/[id]/route.ts,36,14,10,140,18,648
