sha256,repo_count,instance_count,relative_paths,repos
264a24f176570473,2,2,src/routes/store-details/store-detail/components/payment-integration-section.tsx,posx-frido-b2b-admin;posx-frido-mobility-admin
38ab3199e3d490d8,2,2,package.json,posx-frido-b2b-backend;posx-frido-mobility-backend
0301c8e5ced7edc7,2,2,src/lib/csv-validation.ts,posx-frido-b2b-backend;posx-ugaoo-backend
97ca12f0bf74e6fe,2,2,src/subscribers/return-order-confirmed.ts,posx-frido-b2b-backend;posx-frido-mobility-backend
42163651ce1de752,2,2,src/subscribers/exchange-order-post-effects.ts,posx-frido-b2b-backend;posx-frido-mobility-backend
41f5bfd7cd973c46,2,2,src/subscribers/order-gcp-sync.ts,posx-frido-b2b-backend;posx-frido-backend
967940c8e5d022f1,2,2,src/jobs/change-returnable-status-of-order.ts,posx-frido-b2b-backend;posx-frido-mobility-backend
deb4297324de637c,2,2,src/modules/snapmint/service.ts,posx-frido-b2b-backend;posx-frido-mobility-backend
1d2377dc27ac8386,2,2,src/modules/analytics/migrations/.snapshot-analytics.json;src/modules/analytics/migrations/.snapshot-posx_frido_b2b_dev.json,posx-frido-b2b-backend;posx-mokobara-backend
ee78c084ebd774eb,2,10,src/modules/direct-razorpay/migrations/.snapshot-posx_frido_b2b_dev.json;src/modules/pdf-client/migrations/.snapshot-posx_frido_b2b_dev.json;src/modules/pinelabs/migrations/.snapshot-pinelabs.json;src/modules/razorpay-pos/migrations/.snapshot-posx_frido_b2b_dev.json;src/modules/razorpay-pos/migratio,posx-frido-b2b-backend;posx-mokobara-backend
0ca2b1122c9c0792,2,2,src/modules/cms/migrations/.snapshot-cms.json;src/modules/cms/migrations/.snapshot-posx_frido_b2b_dev.json,posx-frido-b2b-backend;posx-mokobara-backend
e14a0ac581626f53,2,2,src/api/admin/shopify-customer/route.ts,posx-frido-b2b-backend;posx-frido-backend
2e322a2fe94101cc,2,2,src/api/admin/order-return-and-exchange/[id]/exchange/route.ts,posx-frido-b2b-backend;posx-frido-mobility-backend
7ae88692777a4886,2,2,src/api/datachannel/order-payment/route.ts,posx-frido-b2b-backend;posx-frido-mobility-backend
